dept,project_id,quarter,year,approved_amount,actual_spent,category
IT,Project_008,Q1,2024,36196.37,33635.85,Operating
Engineering,Project_009,Q1,2023,42095.18,49607.25,Travel
Operations,Project_003,Q1,2023,17428.23,15944.73,Operating
Engineering,Project_033,Q1,2023,106853.37,113811.15,Travel
Operations,Project_015,Q4,2024,13773.83,14206.11,Capital
R&D,Project_045,Q4,2024,13857.51,12196.56,R&D
R&D,Project_014,Q3,2023,28056.13,18601.44,Capital
Operations,Project_007,Q3,2024,3924.85,3397.57,Travel
HR,Project_003,Q4,2023,7999.78,7976.88,Marketing
Sales,Project_036,Q3,2024,8883.72,6557.56,Travel
Engineering,Project_046,Q1,2023,95382.34,87382.96,Operating
HR,Project_006,Q2,2023,23565.24,17350.8,Marketing
HR,Project_030,Q3,2023,12779.75,12353.4,R&D
Finance,Project_014,Q3,2023,6967.46,7011.74,Travel
IT,Project_011,Q2,2023,12080.66,10948.05,Marketing
Operations,Project_018,Q2,2024,12067.77,14817.31,Capital
Engineering,Project_003,Q3,2024,21731.17,17196.82,R&D
Sales,Project_014,Q3,2023,50138.52,38449.9,Marketing
Operations,Project_042,Q4,2023,27142.7,17806.95,R&D
R&D,Project_016,Q3,2024,5836.08,5716.61,Travel
Operations,Project_024,Q2,2023,46095.31,44975.44,Travel
Customer Success,Project_006,Q1,2023,19620.92,17753.68,Operating
IT,Project_011,Q4,2023,5021.47,4228.2,Marketing
Operations,Project_039,Q4,2024,13896.07,15404.74,Travel
Marketing,Project_044,Q1,2024,31058.2,21291.76,R&D
Sales,Project_019,Q4,2023,30457.39,27175.23,Marketing
Marketing,Project_047,Q3,2023,11193.38,11660.72,Travel
Sales,Project_041,Q3,2023,61759.28,67298.59,Operating
Finance,Project_049,Q2,2023,9516.5,8599.28,Travel
Finance,Project_032,Q1,2023,30676.85,33632.01,R&D
HR,Project_016,Q1,2023,13640.87,12578.94,Travel
Sales,Project_006,Q4,2023,7285.67,5614.11,Travel
R&D,Project_009,Q4,2023,49638.69,57255.05,R&D
Product,Project_039,Q4,2023,20496.1,22556.57,Travel
Admin,Project_045,Q2,2024,31622.87,26981.65,Marketing
IT,Project_042,Q3,2024,31615.27,37328.32,Travel
Customer Success,Project_008,Q2,2023,21251.31,25176.35,Capital
Finance,Project_002,Q2,2023,1604.0,1721.55,Capital
Sales,Project_046,Q1,2023,24029.73,21750.48,Capital
Marketing,Project_022,Q1,2023,24143.27,15738.14,R&D
IT,Project_032,Q2,2023,17682.45,17745.52,Travel
Legal,Project_031,Q2,2024,96557.51,84223.2,Marketing
Engineering,Project_007,Q1,2024,9813.42,8584.16,R&D
