transaction_id,amount,date,category,merchant,employee_id,fraud_flag,description,payment_method,currency,status,approval_required
TXN_000001,951.26,2024-10-31,hardware,Microsoft Store,EMP_092,0,Payment to Microsoft Store for hardware,bank_transfer,USD,completed,0
TXN_000002,14196.98,2024-10-18,payroll,Amazon Web Services,EMP_100,0,Payment to Amazon Web Services for payroll,cash,USD,completed,1
TXN_000003,23933.9,2024-12-07,payroll,Twitter Ads,EMP_059,0,Payment to Twitter Ads for payroll,check,USD,pending,1
TXN_000004,1907.98,2024-11-09,training,Office Depot,EMP_071,0,Payment to Office Depot for training,cash,USD,pending,0
TXN_000005,167.73,2025-05-09,legal,Twitter Ads,EMP_099,0,Payment to Twitter Ads for legal,bank_transfer,USD,pending,0
TXN_000006,260.39,2025-02-05,insurance,Zoom,EMP_031,0,Payment to Zoom for insurance,credit_card,USD,completed,0
TXN_000007,1113.25,2025-07-03,entertainment,Facebook Ads,EMP_089,0,Payment to Facebook Ads for entertainment,cash,USD,pending,0
TXN_000008,1111.86,2025-04-02,conference,Best Buy,EMP_054,0,Payment to Best Buy for conference,cash,USD,failed,0
TXN_000009,1113.26,2024-09-27,entertainment,Microsoft Azure,EMP_062,1,Payment to Microsoft Azure for entertainment,cash,USD,pending,0
TXN_000010,31342.54,2024-12-17,consulting,Best Buy,EMP_063,0,Payment to Best Buy for consulting,credit_card,USD,pending,1
TXN_000011,1177.2,2025-03-30,entertainment,Basecamp,EMP_093,0,Payment to Basecamp for entertainment,bank_transfer,USD,failed,0
TXN_000012,16385.77,2024-12-19,entertainment,Microsoft Azure,EMP_076,0,Payment to Microsoft Azure for entertainment,cash,USD,completed,1
TXN_000013,1383.4,2025-01-25,travel,Shopify,EMP_034,0,Payment to Shopify for travel,check,USD,pending,0
TXN_000014,793.28,2025-03-08,training,Uber,EMP_033,0,Payment to Uber for training,credit_card,USD,pending,0
TXN_000015,3443.74,2025-05-27,marketing,Monday.com,EMP_100,0,Payment to Monday.com for marketing,credit_card,USD,completed,0
TXN_000016,148.3,2025-06-08,office_supplies,Microsoft Azure,EMP_031,0,Payment to Microsoft Azure for office_supplies,bank_transfer,USD,pending,0
TXN_000017,409.38,2024-09-25,meals,TikTok Ads,EMP_022,0,Payment to TikTok Ads for meals,credit_card,USD,completed,0
TXN_000018,437.85,2025-04-12,subscription,Adobe Creative Suite,EMP_040,0,Payment to Adobe Creative Suite for subscription,cash,USD,pending,0
TXN_000019,6732.21,2025-06-09,consulting,Zoom,EMP_014,0,Payment to Zoom for consulting,credit_card,USD,failed,1
TXN_000020,102.79,2025-08-28,training,Marriott,EMP_085,0,Payment to Marriott for training,check,USD,completed,0
TXN_000021,16094.94,2025-02-15,payroll,Pizza Hut,EMP_056,0,Payment to Pizza Hut for payroll,cash,USD,failed,1
TXN_000022,132.59,2025-07-02,software,Starbucks,EMP_094,0,Payment to Starbucks for software,cash,USD,pending,0
TXN_000023,414.91,2025-02-07,legal,GitHub,EMP_042,0,Payment to GitHub for legal,credit_card,USD,pending,0
TXN_000024,1976.24,2025-01-31,conference,Twitter Ads,EMP_073,0,Payment to Twitter Ads for conference,credit_card,USD,pending,0
TXN_000025,709.3,2025-04-05,advertising,Shopify,EMP_028,0,Payment to Shopify for advertising,check,USD,failed,0
TXN_000026,1152.02,2024-09-24,subscription,Uber,EMP_067,0,Payment to Uber for subscription,cash,USD,pending,0
TXN_000027,1152.37,2024-12-08,advertising,Twitter Ads,EMP_083,0,Payment to Twitter Ads for advertising,credit_card,USD,completed,0
TXN_000028,186.63,2025-04-21,entertainment,Facebook Ads,EMP_089,0,Payment to Facebook Ads for entertainment,check,USD,pending,0
TXN_000029,7252.02,2024-12-09,meals,Staples,EMP_055,0,Payment to Staples for meals,check,USD,failed,1
TXN_000030,4202.41,2025-01-29,insurance,Uber,EMP_033,0,Payment to Uber for insurance,check,USD,completed,0
TXN_000031,2600.44,2024-12-18,hardware,Shopify,EMP_028,0,Payment to Shopify for hardware,check,USD,completed,0
TXN_000032,14977.47,2025-06-11,consulting,Lyft,EMP_047,0,Payment to Lyft for consulting,bank_transfer,USD,pending,1
TXN_000033,87.78,2025-08-26,insurance,Slack,EMP_090,0,Payment to Slack for insurance,cash,USD,completed,0
TXN_000034,801.48,2025-09-12,insurance,Microsoft Store,EMP_061,0,Payment to Microsoft Store for insurance,credit_card,USD,pending,0
TXN_000035,1537.96,2025-01-17,marketing,Salesforce,EMP_052,0,Payment to Salesforce for marketing,credit_card,USD,completed,0
TXN_000036,1559.99,2025-07-04,insurance,Microsoft Store,EMP_011,0,Payment to Microsoft Store for insurance,cash,USD,failed,0
TXN_000037,301.11,2024-11-17,consulting,Trello,EMP_100,0,Payment to Trello for consulting,cash,USD,pending,0
TXN_000038,593.04,2024-11-21,insurance,Starbucks,EMP_073,0,Payment to Starbucks for insurance,credit_card,USD,completed,0
TXN_000039,1102.12,2024-11-02,legal,Google Ads,EMP_085,0,Payment to Google Ads for legal,credit_card,USD,completed,0
TXN_000040,1580.91,2025-09-17,conference,Booking.com,EMP_089,0,Payment to Booking.com for conference,bank_transfer,USD,pending,0
TXN_000041,200.28,2024-09-22,conference,Lyft,EMP_010,0,Payment to Lyft for conference,bank_transfer,USD,pending,0
TXN_000042,476.04,2025-07-22,consulting,Best Buy,EMP_083,0,Payment to Best Buy for consulting,bank_transfer,USD,completed,0
TXN_000043,413.66,2025-08-19,insurance,PayPal,EMP_077,0,Payment to PayPal for insurance,check,USD,pending,0
TXN_000044,346.08,2025-07-17,insurance,Subway,EMP_090,0,Payment to Subway for insurance,cash,USD,pending,0
TXN_000045,6408.97,2025-08-08,travel,Atlassian,EMP_056,0,Payment to Atlassian for travel,credit_card,USD,completed,1
TXN_000046,604.85,2025-05-24,subscription,Microsoft Store,EMP_098,0,Payment to Microsoft Store for subscription,credit_card,USD,completed,0
TXN_000047,188.5,2025-01-21,conference,Staples,EMP_036,0,Payment to Staples for conference,cash,USD,completed,0
TXN_000048,1665.47,2025-01-21,training,Marriott,EMP_043,0,Payment to Marriott for training,bank_transfer,USD,pending,0
TXN_000049,5553.35,2025-02-20,insurance,Pizza Hut,EMP_085,0,Payment to Pizza Hut for insurance,credit_card,USD,pending,1
TXN_000050,1867.7,2025-08-04,legal,United Airlines,EMP_042,0,Payment to United Airlines for legal,credit_card,USD,failed,0
TXN_000051,145.57,2024-12-15,training,Subway,EMP_007,0,Payment to Subway for training,cash,USD,failed,0
